18:35:20.707131 config: drop-rate=0.20, max-delay=10ms, seed=1
10:30:34.229620 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 6.3ms
10:30:34.244972 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:30:38.231797 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 200µs
10:30:38.247282 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:30:42.246154 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 4.7ms
10:30:42.261585 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:30:46.247756 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 7.7ms
10:30:46.263133 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:30:50.259960 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 9.6ms
10:30:50.275650 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:30:54.272722 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 2.3ms
10:30:54.289000 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:30:58.287802 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 3.7ms
10:30:58.303538 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:31:02.296470 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 4.1ms
10:31:02.311992 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:31:06.303140 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 3.3ms
10:31:06.318806 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:31:10.318669 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 9.1ms
10:31:10.334505 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:31:14.334233 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 7.8ms
10:31:14.349677 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:31:18.347027 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 4.6ms
10:31:18.362318 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:31:22.354163 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 4ms
10:31:22.369993 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:31:26.359001 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 5.2ms
10:31:26.374722 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:31:30.363443 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:31:34.374055 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 9.8ms
10:31:34.390104 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:31:38.388370 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 5.1ms
10:31:38.404365 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:31:42.398447 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 5.7ms
10:31:42.413867 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:31:46.407352 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 1ms
10:31:46.423578 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:31:50.411912 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:31:54.422346 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 9ms
10:31:54.437707 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:31:58.432370 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 9.8ms
10:31:58.448697 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:32:02.446084 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 9.1ms
10:32:02.461343 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:32:06.460086 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:32:10.470176 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:32:14.472138 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 6.7ms
10:32:14.488475 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:32:18.477406 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 7.1ms
10:32:18.492654 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:32:22.487483 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 2.6ms
10:32:22.502881 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:32:26.501302 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 8.1ms
10:32:26.517105 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:32:30.508901 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 6.6ms
10:32:30.524704 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:32:34.522455 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 9.3ms
10:32:34.537363 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:32:38.536972 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:32:42.541961 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 8.1ms
10:32:42.557000 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:32:46.546012 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 7.5ms
10:32:46.561931 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:32:50.556579 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 1ms
10:32:50.572061 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:32:54.565076 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 4.9ms
10:32:54.580668 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:32:58.574218 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 1.8ms
10:32:58.589577 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:33:02.575328 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 300µs
10:33:02.590699 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:33:06.577974 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 4.7ms
10:33:06.593367 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:33:10.588505 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 3.2ms
10:33:10.604612 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:33:14.590586 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
